cum	dayOffset	fromHour	max	mean	min	region	timestamp	toHour	weatherParam
-1.0	0	6	287.804931641	283.235351562	275.9765625	12	2017-11-02	18	2t
-1.0	0	12	287.804931641	285.01554362	281.880371094	12	2017-11-02	18	2t
-1.0	0	0	277.814941406	277.554931641	277.294921875	13	2017-11-02	6	2t
-1.0	0	6	284.216552734	281.366373698	277.294921875	13	2017-11-02	12	2t
-1.0	0	6	284.216552734	281.770605469	277.294921875	13	2017-11-02	18	2t
-1.0	0	12	284.216552734	282.990152995	281.736572266	13	2017-11-02	18	2t
-1.0	0	0	274.926757812	274.48046875	274.034179688	14	2017-11-02	6	2t
-1.0	0	6	281.941162109	279.037027995	274.926757812	14	2017-11-02	12	2t
-1.0	0	6	281.941162109	278.806152344	274.926757812	14	2017-11-02	18	2t
-1.0	0	12	281.941162109	279.620279948	277.296142578	14	2017-11-02	18	2t
-1.0	0	0	275.523925781	274.991455078	274.458984375	15	2017-11-02	6	2t
-1.0	0	6	283.570556641	279.76578776	274.458984375	15	2017-11-02	12	2t
-1.0	0	6	283.570556641	280.347265625	274.458984375	15	2017-11-02	18	2t
-1.0	0	12	283.570556641	282.003173828	279.252441406	15	2017-11-02	18	2t
-1.0	-2	0	281.752929688	281.361572266	280.970214844	0	2017-11-03	6	2t
-1.0	-2	6	287.761230469	284.507568359	280.970214844	0	2017-11-03	12	2t
-1.0	-2	6	287.761230469	284.010693359	280.915283203	0	2017-11-03	18	2t
-1.0	-2	12	287.761230469	284.763997396	280.915283203	0	2017-11-03	18	2t
-1.0	-2	0	280.049316406	278.968994141	277.888671875	1	2017-11-03	6	2t
-1.0	-2	6	285.466308594	282.228922526	277.888671875	1	2017-11-03	12	2t
-1.0	-2	6	285.466308594	282.4828125	277.888671875	1	2017-11-03	18	2t
-1.0	-2	12	285.466308594	283.731201172	281.505859375	1	2017-11-03	18	2t
-1.0	-2	0	281.468261719	280.161865234	278.85546875	2	2017-11-03	6	2t
-1.0	-2	6	286.813720703	283.829264323	278.85546875	2	2017-11-03	12	2t
-1.0	-2	6	286.813720703	283.972509766	278.85546875	2	2017-11-03	18	2t
-1.0	-2	12	286.813720703	285.062825521	283.313720703	2	2017-11-03	18	2t
-1.0	-2	0	275.990234375	275.770751953	275.551269531	3	2017-11-03	6	2t
-1.0	-2	6	282.342285156	279.371582031	275.551269531	3	2017-11-03	12	2t
-1.0	-2	6	282.342285156	279.261523437	275.551269531	3	2017-11-03	18	2t
-1.0	-2	12	282.342285156	280.178385417	277.555908203	3	2017-11-03	18	2t
-1.0	-2	0	283.182128906	282.081787109	280.981445312	4	2017-11-03	6	2t
-1.0	-2	6	286.568115234	284.330566406	280.981445312	4	2017-11-03	12	2t
-1.0	-2	6	286.568115234	284.278125	280.981445312	4	2017-11-03	18	2t
-1.0	-2	12	286.568115234	284.989013672	283.306396484	4	2017-11-03	18	2t
-1.0	-2	0	278.488769531	278.446044922	278.403320312	5	2017-11-03	6	2t
-1.0	-2	6	286.187255859	282.772786458	278.488769531	5	2017-11-03	12	2t
-1.0	-2	6	286.187255859	282.957324219	278.488769531	5	2017-11-03	18	2t
-1.0	-2	12	286.187255859	284.218505859	281.567871094	5	2017-11-03	18	2t
-1.0	-2	0	278.924316406	278.592285156	278.260253906	6	2017-11-03	6	2t
-1.0	-2	6	285.329101562	282.470703125	278.924316406	6	2017-11-03	12	2t
-1.0	-2	6	285.329101562	282.434863281	278.924316406	6	2017-11-03	18	2t
-1.0	-2	12	285.329101562	283.363769531	281.384277344	6	2017-11-03	18	2t
-1.0	-2	0	278.22265625	277.844726562	277.466796875	7	2017-11-03	6	2t
-1.0	-2	6	284.9296875	282.114095052	277.466796875	7	2017-11-03	12	2t
-1.0	-2	6	284.9296875	281.950732422	277.466796875	7	2017-11-03	18	2t
-1.0	-2	12	284.9296875	282.780354818	280.264648438	7	2017-11-03	18	2t
-1.0	-2	0	288.486328125	287.967041016	287.447753906	8	2017-11-03	6	2t
-1.0	-2	6	288.469726562	287.954345703	287.447753906	8	2017-11-03	12	2t
-1.0	-2	6	288.469726562	287.835253906	286.939453125	8	2017-11-03	18	2t
-1.0	-2	12	288.469726562	287.927652995	286.939453125	8	2017-11-03	18	2t
-1.0	-2	0	282.639648438	281.205322266	279.770996094	9	2017-11-03	6	2t
-1.0	-2	6	286.092773438	283.634195964	279.770996094	9	2017-11-03	12	2t
-1.0	-2	6	286.092773438	283.759667969	279.770996094	9	2017-11-03	18	2t
-1.0	-2	12	286.092773438	284.662841797	283.067626953	9	2017-11-03	18	2t
-1.0	-2	0	282.393554688	281.074462891	279.755371094	10	2017-11-03	6	2t
-1.0	-2	6	286.906494141	283.666341146	279.755371094	10	2017-11-03	12	2t
-1.0	-2	6	286.906494141	283.363085937	279.755371094	10	2017-11-03	18	2t
-1.0	-2	12	286.906494141	284.240966797	280.8671875	10	2017-11-03	18	2t
-1.0	-2	0	280.777832031	280.016601562	279.255371094	11	2017-11-03	6	2t
-1.0	-2	6	286.782226562	283.936523438	280.777832031	11	2017-11-03	12	2t
-1.0	-2	6	286.782226562	282.991992187	279.049316406	11	2017-11-03	18	2t
-1.0	-2	12	286.782226562	283.310872396	279.049316406	11	2017-11-03	18	2t
-1.0	-2	0	280.17578125	279.863769531	279.551757812	12	2017-11-03	6	2t
-1.0	-2	6	286.544677734	283.646728516	279.551757812	12	2017-11-03	12	2t
-1.0	-2	6	286.544677734	283.230517578	279.551757812	12	2017-11-03	18	2t
-1.0	-2	12	286.544677734	283.919026693	280.700927734	12	2017-11-03	18	2t
-1.0	-2	0	281.683105469	280.989501953	280.295898438	13	2017-11-03	6	2t
-1.0	-2	6	285.657226562	283.422607422	280.295898438	13	2017-11-03	12	2t
-1.0	-2	6	285.657226562	282.931591797	280.267578125	13	2017-11-03	18	2t
-1.0	-2	12	285.657226562	283.349121094	280.267578125	13	2017-11-03	18	2t
-1.0	-2	0	275.990234375	275.770751953	275.551269531	14	2017-11-03	6	2t
-1.0	-2	6	282.342285156	279.371582031	275.551269531	14	2017-11-03	12	2t
-1.0	-2	6	282.342285156	279.261523437	275.551269531	14	2017-11-03	18	2t
-1.0	-2	12	282.342285156	280.178385417	277.555908203	14	2017-11-03	18	2t
-1.0	-2	0	276.842285156	276.360107422	275.877929688	15	2017-11-03	6	2t
-1.0	-2	6	283.315917969	279.816080729	275.877929688	15	2017-11-03	12	2t
-1.0	-2	6	283.315917969	280.202001953	275.877929688	15	2017-11-03	18	2t
-1.0	-2	12	283.315917969	281.625895182	279.242675781	15	2017-11-03	18	2t
-1.0	-1	0	281.447509766	281.372070312	281.296630859	0	2017-11-03	6	2t
-1.0	-1	6	287.129638672	284.47281901	281.447509766	0	2017-11-03	12	2t
-1.0	-1	6	287.129638672	283.870214844	280.4921875	0	2017-11-03	18	2t
-1.0	-1	12	287.129638672	284.354085286	280.4921875	0	2017-11-03	18	2t
-1.0	-1	0	281.273193359	280.027709961	278.782226562	1	2017-11-03	6	2t
-1.0	-1	6	284.620849609	282.345052083	278.782226562	1	2017-11-03	12	2t
-1.0	-1	6	284.628417969	282.759179688	278.782226562	1	2017-11-03	18	2t
-1.0	-1	12	284.628417969	283.793863932	282.132324219	1	2017-11-03	18	2t
-1.0	-1	0	281.555908203	280.549560547	279.543212891	2	2017-11-03	6	2t
-1.0	-1	6	286.465332031	284.080566406	279.543212891	2	2017-11-03	12	2t
-1.0	-1	6	286.465332031	284.133496094	279.543212891	2	2017-11-03	18	2t
-1.0	-1	12	286.465332031	284.963704427	283.279296875	2	2017-11-03	18	2t
-1.0	-1	0	275.408447266	275.378540039	275.348632812	3	2017-11-03	6	2t
-1.0	-1	6	281.611328125	278.891113281	275.348632812	3	2017-11-03	12	2t
-1.0	-1	6	281.611328125	278.433105469	275.348632812	3	2017-11-03	18	2t
-1.0	-1	12	281.611328125	279.034505208	275.431884766	3	2017-11-03	18	2t
-1.0	-1	0	283.919677734	282.744995117	281.5703125	4	2017-11-03	6	2t
-1.0	-1	6	285.415527344	284.061197917	281.5703125	4	2017-11-03	12	2t
-1.0	-1	6	285.415527344	283.844433594	281.5703125	4	2017-11-03	18	2t
